booking_id,property_id,booking_date,check_in_date,checkout_date,no_guests,room_category,booking_platform,ratings_given,booking_status,revenue_generated,revenue_realized
May012216558RT11,16558,27-04-22,1/5/2022,2/5/2022,-3,RT1,direct online,1,Checked Out,10010,10010
May012216558RT12,16558,30-04-22,1/5/2022,2/5/2022,2,RT1,others,,Cancelled,9100,3640
May012216558RT13,16558,28-04-22,1/5/2022,4/5/2022,2,RT1,logtrip,5,Checked Out,9100000,9100
May012216558RT14,16558,28-04-22,1/5/2022,2/5/2022,-2,RT1,others,,Cancelled,9100,3640
May012216558RT15,16558,27-04-22,1/5/2022,2/5/2022,4,RT1,direct online,5,Checked Out,10920,10920
May012216558RT16,16558,1/5/2022,1/5/2022,3/5/2022,2,RT1,others,4,Checked Out,9100,9100
May012216558RT17,16558,28-04-22,1/5/2022,6/5/2022,2,RT1,others,,Cancelled,9100,3640
May012216558RT18,16558,26-04-22,1/5/2022,3/5/2022,2,RT1,logtrip,,No Show,9100,9100
May012216558RT19,16558,30-04-22,1/5/2022,2/5/2022,2,RT1,tripster,,Checked Out,9100,9100
May012216558RT110,16558,28-04-22,1/5/2022,2/5/2022,1,RT1,others,4,Checked Out,9100,9100
May012216558RT111,16558,29-04-22,1/5/2022,7/5/2022,1,RT1,makeyourtrip,5,Checked Out,9100,9100
May012216558RT112,16558,26-04-22,1/5/2022,2/5/2022,2,RT1,logtrip,5,Checked Out,9100,9100
May012216558RT113,16558,26-04-22,1/5/2022,7/5/2022,2,RT1,makeyourtrip,5,Checked Out,9100,9100
May012216558RT114,16558,30-04-22,1/5/2022,5/5/2022,1,RT1,logtrip,,Cancelled,9100,3640
May012216558RT115,16558,29-04-22,1/5/2022,2/5/2022,2,RT1,others,,Checked Out,9100,9100
May012216558RT116,16558,27-04-22,1/5/2022,3/5/2022,4,RT1,journey,,Checked Out,10920,10920
May012216558RT117,16558,29-04-22,1/5/2022,2/5/2022,3,RT1,direct offline,,Checked Out,10010,10010
May012216558RT118,16558,27-04-22,1/5/2022,2/5/2022,2,RT1,others,,Checked Out,9100,9100
May012216558RT21,16558,7/4/2022,1/5/2022,6/5/2022,2,RT2,others,,Checked Out,12600,12600
May012216558RT22,16558,30-04-22,1/5/2022,3/5/2022,2,RT2,others,5,Checked Out,12600,12600
May012216558RT23,16558,10/4/2022,1/5/2022,7/5/2022,1,RT2,makeyourtrip,,Checked Out,12600,12600
May012216558RT24,16558,29-04-22,1/5/2022,3/5/2022,3,RT2,others,,Cancelled,13860,5544
May012216558RT25,16558,26-04-22,1/5/2022,2/5/2022,1,RT2,direct offline,,Cancelled,12600,5040
May012216558RT26,16558,27-04-22,1/5/2022,2/5/2022,2,RT2,direct offline,4,Checked Out,12600,12600
